player_name,team_name,tm_name,tm_club,position_detail,market_value,match_score,flag
Abdelhamid Ait Boudlal,Rennes,Abdelhamid Ait Boudlal,Stade Rennais FC,CB,€10.00m,90.0,✅
Abdoul Coulibaly,Werder Bremen,Abdoul Coulibaly,AS Bamako,CB,-,81.2,⚠️
Abdoul Ouattara,Strasbourg,Abdoul Ouattara,RC Strasbourg Alsace,RB,€15.00m,100.0,✅
Abdulai Juma Bah,Nice,Juma Bah,OGC Nice,CB,€10.00m,76.7,⚠️
Adam Boayar,Elche,Adam Boayar,Elche CF,SS,€800k,100.0,✅
Adam Daghim,Wolfsburg,Adam Daghim,VfL Wolfsburg,RW,€7.50m,100.0,✅
Adam Kölle,Heidenheim,Adam Kölle,1.FC Heidenheim 1846,CB,€1.00m,100.0,✅
Adil Hamdani,Lyon,Adil Hamdani,Olympique Lyon B,LW,€1.00m,100.0,✅
Agustín Albarracín,Cagliari,Agustín Albarracín,Cagliari Calcio,LW,€2.30m,100.0,✅
Aladji Bamba,Monaco,Aladji Bamba,AS Monaco,DM,€10.00m,100.0,✅
Alejo Sarco,Gladbach,Alejo Sarco,Borussia Mönchengladbach,CF,€2.00m,100.0,✅
Alessandro Romano,Roma,Alessandro Romano,FC Nola 1925,LB,€25k,85.0,✅
Alex Tóth,Bournemouth,Alex Tóth,AFC Bournemouth,CM,€12.00m,100.0,✅
Alexander Legendre,Rennes,Elías Legendre Quiñónez,Stade Rennais FC,RW,€1.50m,57.6,⚠️
Alexander Røssing-Lelesiit,Hamburger SV,Alexander Røssing-Lelesiit,Hamburger SV,LW,€5.00m,100.0,✅
Alexis Vossah,Toulouse,Alexis Vossah,FC Toulouse,CM,€15.00m,100.0,✅
Ali Houary,Elche,Ali Houary,CD Mirandés,SS,€300k,80.0,⚠️
Alieu Njie,Torino,Alieu Njie,Torino FC,LW,€2.50m,100.0,✅
Almugera Kabar,Dortmund,Almugera Kabar,Borussia Dortmund,LB,€3.00m,100.0,✅
Alpha Touré,Metz,Alpha Touré,FC Metz,DM,€5.00m,100.0,✅
Alysson Edward,Aston Villa,Alysson,Aston Villa,RW,€10.00m,76.7,⚠️
Amadou Cissé,Strasbourg,Amadou Cissé,Racing Strasbourg B,CB,-,100.0,✅
Amady Camara,Nantes,Amady Camara,FC Nantes,CF,€1.20m,100.0,✅
Amorim,Genoa,Amorim,Genoa CFC,CM,€6.50m,100.0,✅
Andrija Bulatović,Lens,Andrija Bulatovic,RC Lens,CM,€5.00m,95.9,✅
Andrija Maksimović,RB Leipzig,Andrija Maksimovic,RB Leipzig,AM,€12.00m,96.1,✅
Andréa Le Borgne,Como,Andréa Le Borgne,US Avellino 1912,DM,€2.50m,77.5,⚠️
Andrés Antañón,Celta Vigo,Andrés Antañón,RC Celta Fortuna,CM,€300k,91.0,✅
Antonio Arena,Roma,Antonio Arena,Roma U20,CF,€1.00m,100.0,✅
Archie Gray,Tottenham Hotspur,Archie Gray,Tottenham Hotspur,CM,€35.00m,100.0,✅
Arijon Ibrahimović,Heidenheim,Arijon Ibrahimovic,1.FC Heidenheim 1846,AM,€6.00m,96.1,✅
Assan Ouedraogo,RB Leipzig,Assan Ouédraogo,RB Leipzig,CM,€28.00m,95.3,✅
Assane Diao,Como,Assane Diao,Como 1907,LW,€30.00m,100.0,✅
